date_lst,time_dep,time_arr,airline_lst,dur_lst,time_arr_day_lst,transfer_lst,transfer_plc_lst,date_rt_lst,time_dep_rt_lst,time_arr_rt_lst,airline_rt_lst,dur_rt_lst,time_arr_day_rt_lst,transfer_rt_lst,transfer_plc_rt_lst,price_lst,href_lst
01/11/2019,15:35,21:55,Air China,6h 20,,Direct,,04/11/2019,17:50,23:50,Air China,6h,,Direct,,$469,https://www.skyscanner.com.sg/transport/flights/bjsa/sins/191101/191104/?adults=2&children=2&adultsv2=2&childrenv2=2%7c3&infants=0&cabinclass=economy&rtn=1&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&ref=home#/#/details/15277-1911011535--32690-0-16292-1911012155|16292-1911041750--32690-0-15277-1911042350
01/11/2019,00:10,06:50,Greener flights are calculated based on aircraft type and number of stops.,6h 40,,Direct,,04/11/2019,17:50,23:50,Air China,6h,,Direct,,$469,https://www.skyscanner.com.sg/transport/flights/bjsa/sins/191101/191104/?adults=2&children=2&adultsv2=2&childrenv2=2%7c3&infants=0&cabinclass=economy&rtn=1&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&ref=home#/#/details/15277-1911010010--32690-0-16292-1911010650|16292-1911041750--32690-0-15277-1911042350
01/11/2019,15:35,21:55,Air China,6h 20,,Direct,,04/11/2019,17:50,23:50,Air China,6h,,Direct,,$469,https://www.skyscanner.com.sg/transport/flights/bjsa/sins/191101/191104/?adults=2&children=2&adultsv2=2&childrenv2=2%7c3&infants=0&cabinclass=economy&rtn=1&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&ref=home#/#/details/15277-1911011535--32690-0-16292-1911012155|16292-1911041750--32690-0-15277-1911042350
01/11/2019,00:10,06:50,Greener flights are calculated based on aircraft type and number of stops.,6h 40,,Direct,,04/11/2019,17:50,23:50,Air China,6h,,Direct,,$469,https://www.skyscanner.com.sg/transport/flights/bjsa/sins/191101/191104/?adults=2&children=2&adultsv2=2&childrenv2=2%7c3&infants=0&cabinclass=economy&rtn=1&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&ref=home#/#/details/15277-1911010010--32690-0-16292-1911010650|16292-1911041750--32690-0-15277-1911042350
01/11/2019,15:35,21:55,Air China,6h 20,,Direct,,04/11/2019,17:50,23:50,Air China,6h,,Direct,,$469,https://www.skyscanner.com.sg/transport/flights/bjsa/sins/191101/191104/?adults=2&children=2&adultsv2=2&childrenv2=2%7c3&infants=0&cabinclass=economy&rtn=1&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&ref=home#/#/details/15277-1911011535--32690-0-16292-1911012155|16292-1911041750--32690-0-15277-1911042350
01/11/2019,00:10,06:50,Greener flights are calculated based on aircraft type and number of stops.,6h 40,,Direct,,04/11/2019,17:50,23:50,Air China,6h,,Direct,,$469,https://www.skyscanner.com.sg/transport/flights/bjsa/sins/191101/191104/?adults=2&children=2&adultsv2=2&childrenv2=2%7c3&infants=0&cabinclass=economy&rtn=1&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&ref=home#/#/details/15277-1911010010--32690-0-16292-1911010650|16292-1911041750--32690-0-15277-1911042350
01/11/2019,15:35,21:55,Air China,6h 20,,Direct,,04/11/2019,17:50,23:50,Air China,6h,,Direct,,$469,https://www.skyscanner.com.sg/transport/flights/bjsa/sins/191101/191104/?adults=2&children=2&adultsv2=2&childrenv2=2%7c3&infants=0&cabinclass=economy&rtn=1&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&ref=home#/#/details/15277-1911011535--32690-0-16292-1911012155|16292-1911041750--32690-0-15277-1911042350
01/11/2019,00:10,06:50,Greener flights are calculated based on aircraft type and number of stops.,6h 40,,Direct,,04/11/2019,17:50,23:50,Air China,6h,,Direct,,$469,https://www.skyscanner.com.sg/transport/flights/bjsa/sins/191101/191104/?adults=2&children=2&adultsv2=2&childrenv2=2%7c3&infants=0&cabinclass=economy&rtn=1&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&ref=home#/#/details/15277-1911010010--32690-0-16292-1911010650|16292-1911041750--32690-0-15277-1911042350
01/11/2019,15:35,21:55,Air China,6h 20,,Direct,,04/11/2019,17:50,23:50,Air China,6h,,Direct,,$469,https://www.skyscanner.com.sg/transport/flights/bjsa/sins/191101/191104/?adults=2&children=2&adultsv2=2&childrenv2=2%7c3&infants=0&cabinclass=economy&rtn=1&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&ref=home#/#/details/15277-1911011535--32690-0-16292-1911012155|16292-1911041750--32690-0-15277-1911042350
01/11/2019,00:10,06:50,Greener flights are calculated based on aircraft type and number of stops.,6h 40,,Direct,,04/11/2019,17:50,23:50,Air China,6h,,Direct,,$469,https://www.skyscanner.com.sg/transport/flights/bjsa/sins/191101/191104/?adults=2&children=2&adultsv2=2&childrenv2=2%7c3&infants=0&cabinclass=economy&rtn=1&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&ref=home#/#/details/15277-1911010010--32690-0-16292-1911010650|16292-1911041750--32690-0-15277-1911042350
